iter	RMSE
951	0.3598492906
952	0.3598290872
953	0.3598115088
954	0.3597883777
955	0.3597785099
956	0.3597458857
957	0.3597329766
958	0.3597178253
959	0.3597007802
960	0.3596797767
961	0.3596702345
962	0.3596332652
963	0.3595925962
964	0.3595731124
965	0.3595574557
966	0.3595321883
967	0.3595108911
968	0.3594878177
969	0.359451387
970	0.359429175
971	0.3593905775
972	0.3593721996
973	0.359341129
974	0.3593102142
975	0.3592543817
976	0.3592305646
977	0.3592042382
978	0.3591642416
979	0.3591363705
980	0.3591210622
981	0.359105039
982	0.3590800708
983	0.3590655848
984	0.3590456375
985	0.3590055313
986	0.3589809778
987	0.3589610604
988	0.3589396639
989	0.3589063907
990	0.3588799577
991	0.3588636802
992	0.3588357585
993	0.3588200425
994	0.3587926219
995	0.3587652785
996	0.358722605
997	0.3586955352
998	0.3586750464
999	0.3586603317
